LINE_UNIQUE_ID,CLUSTER_ID,POP_NUM,GCA_pred,GCA_obs,n_env,rank,advance
C1.383.65,1,383,245.08706597973423,265.6081848144531,6,357,False
C1.428.131,1,428,245.0579379923855,245.8370819091797,6,358,False
C1.381.58,1,381,245.04972134058258,231.54214477539062,5,359,False
C1.253.52,1,253,245.0211156340737,235.9951934814453,7,360,False
C1.428.100,1,428,245.01384462577053,253.4996337890625,6,361,False
C1.381.54,1,381,244.98517067728113,238.156982421875,5,362,False
C1.260.116,1,260,244.94419794286915,222.0770721435547,7,363,False
C1.383.59,1,383,244.8908983409366,239.80738830566406,6,364,False
C1.381.32,1,381,244.87734056311302,232.47622680664062,5,365,False
C1.380.69,1,380,244.86681772940605,227.2967071533203,5,366,False
C1.253.125,1,253,244.82916155356614,235.1185302734375,7,367,False
C1.500.148,1,500,244.82850864822782,232.4583282470703,6,368,False
C1.62.31,1,62,244.79648185196683,263.2357482910156,2,369,False
C1.247.36,1,247,244.7952439157944,210.81903076171875,8,370,False
C1.78.127,1,78,244.75338479302889,226.40240478515625,6,371,False
C1.360.127,1,360,244.75338479302886,226.40240478515625,6,372,False
C1.383.147,1,383,244.7507803138011,237.990478515625,6,373,False
C1.253.64,1,253,244.714143341012,232.3258819580078,7,374,False
C1.383.171,1,383,244.69132256966176,227.25234985351562,4,375,False
C1.428.170,1,428,244.67803434996708,261.4149475097656,6,376,False
C1.237.182,1,237,244.6660015143337,230.25149536132812,10,377,False
C1.107.182,1,107,244.66600151432831,230.25149536132812,10,378,False
C1.242.138,1,242,244.6619392713549,222.6273193359375,7,379,False
C1.381.84,1,381,244.6419168714595,256.71026611328125,5,380,False
C1.381.3,1,381,244.6257075918341,258.2424011230469,5,381,False
C1.471.61,1,471,244.6195704172869,203.97352600097656,6,382,False
C1.78.12,1,78,244.60257606600368,219.283935546875,7,383,False
C1.360.12,1,360,244.6025760660024,219.283935546875,7,384,False
C1.428.123,1,428,244.5855224274387,229.63291931152344,6,385,False
C1.428.149,1,428,244.57282177869766,241.43531799316406,6,386,False
C1.127.00000000071,1,127,244.4964931465613,238.75,4,387,False
C1.235.130,1,235,244.4661839804769,227.0958251953125,10,388,False
C1.381.21,1,381,244.4550035759502,243.08517456054688,5,389,False
C1.284.25,1,284,244.4534950432488,236.37351989746094,6,390,False
C1.449.2,1,449,244.45326888669655,240.4690704345703,4,391,False
C1.470.263,1,470,244.42529743507512,216.36642456054688,8,392,False
C1.382.115,1,382,244.4201568452394,222.45249938964844,6,393,False
C1.418.32,1,418,244.4157973455371,226.57553100585938,5,394,False
C1.261.78,1,261,244.4106779667256,203.115966796875,8,395,False
C1.254.135,1,254,244.40480525159944,217.29547119140625,8,396,False
C1.428.145,1,428,244.39080036859832,258.2706298828125,6,397,False
C1.496.77,1,496,244.38703004961317,231.79754638671875,8,398,False
C1.381.7,1,381,244.343800176782,257.597412109375,5,399,False
C1.253.28,1,253,244.3391114869864,242.29641723632812,7,400,False
C1.253.133,1,253,244.315888833274,232.94993591308594,7,401,False
C1.127.00000000003,1,127,244.2756261758886,231.75,4,402,False
C1.251.5,1,251,244.26822920828778,232.386474609375,9,403,False
C1.388.1,1,388,244.26330165654446,219.64198303222656,4,404,False
C1.381.157,1,381,244.24666953852497,247.40438842773438,5,405,False
C1.381.12,1,381,244.21743002914317,240.64083862304688,5,406,False
C1.428.217,1,428,244.21143175194652,253.6496124267578,6,407,False
C1.396.7,1,396,244.18486406508768,223.8403778076172,5,408,False
C1.431.9,1,431,244.16192984715838,236.48922729492188,4,409,False
C1.253.90,1,253,244.13952005448917,237.741455078125,7,410,False
C1.428.208,1,428,244.1135741312388,250.48829650878906,6,411,False
C1.500.72,1,500,244.10157416461357,232.71409606933594,6,412,False
C1.428.148,1,428,244.10060504971872,224.95664978027344,6,413,False
C1.431.3,1,431,244.07517530055011,236.08633422851562,5,414,False
C1.114.10,1,114,244.06683106069207,267.8861083984375,1,415,False
C1.418.76,1,418,244.04507096629825,236.47030639648438,4,416,False
C1.127.00000000093,1,127,244.0236158079279,237.75,4,417,False
C1.254.45,1,254,244.016670249453,225.64260864257812,8,418,False
C1.396.44,1,396,244.0103154668358,232.5814971923828,5,419,False
C1.381.44,1,381,244.0042021890239,247.5305633544922,5,420,False
