line,pred,y,n_fields,population
C1.497.102,10.352274225774716,-9.690697,8,497
C1.454.76,10.35195132422921,3.597485,8,454
C1.479.47,10.346542839834926,-17.3436,6,479
C1.463.47,10.336628330942771,10.8877735,6,463
C1.487.74,10.315514762337784,3.5798008,5,487
C1.479.76,10.309023018213681,0.97742087,5,479
C1.454.141,10.291564185918864,-3.8250148,8,454
C1.454.24,10.290256742874945,-18.69784,8,454
C1.454.168,10.28098415750768,-1.1223273,8,454
C1.454.179,10.266853866537536,13.7007475,8,454
C1.454.54,10.25855440764411,0.617581,7,454
C1.479.107,10.252236982405654,-7.6974654,6,479
C1.479.45,10.232389747938964,2.9149008,5,479
C1.454.14,10.220428254307885,-0.016202347,8,454
C1.459.45,10.217375239591835,-16.217703,6,459
C1.454.114,10.211043699271126,-4.1619024,8,454
C1.470.163,10.210244030034534,2.2974339,8,470
C1.497.121,10.197982561960007,-3.512172,8,497
C1.497.5,10.194123779874507,3.528328,8,497
C1.479.138,10.189066771652103,-15.640982,6,479
C1.497.80,10.174562373518247,-14.166084,8,497
C1.479.93,10.171909850548303,-22.299063,5,479
C1.474.174,10.168414053851917,7.0882754,8,474
C1.454.86,10.168410264815833,10.449888,7,454
C1.454.25,10.165686956451,7.2678227,8,454
C1.452.11,10.148204501760784,6.8989353,6,452
C1.487.69,10.14537628996683,-1.6709591,5,487
C1.474.61,10.141415811085345,6.4589725,7,474
C1.454.165,10.140700387931286,-4.044052,8,454
C1.454.163,10.138027592203043,-11.924265,8,454
C1.454.90,10.137233839951163,2.3341727,8,454
C1.479.30,10.135407594624155,-4.743965,6,479
C1.497.172,10.13352117946591,-15.191929,5,497
C1.479.67,10.126552659671797,-4.5028152,6,479
C1.479.63,10.122523227247799,-9.507699,6,479
C1.479.60,10.116896059313486,-5.6535654,6,479
C1.454.47,10.109790903139661,2.7147727,8,454
C1.497.19,10.094490334947391,1.8923,7,497
C1.454.180,10.089076271433106,-4.606793,7,454
C1.497.142,10.0871410344018,-2.2600574,6,497
C1.479.104,10.082083528657439,-1.6857152,6,479
C1.454.146,10.076625411441102,8.992172,8,454
C1.463.91,10.075801454651883,10.77719,6,463
C1.497.7,10.072826842475859,-1.8125181,7,497
C1.452.113,10.072021048359494,16.005896,8,452
C1.479.108,10.069269142850018,-2.2746985,6,479
C1.497.160,10.067785871667851,-7.118672,8,497
C1.470.286,10.06579588929372,-1.5725504,7,470
C1.454.162,10.064434729738458,5.2385707,7,454
C1.454.57,10.051583878953185,-1.1257273,8,454
C1.487.88,10.047604727920769,-12.495199,5,487
C1.497.74,10.041005232385046,0.8168154,8,497
C1.497.96,10.028399508101632,-9.415585,8,497
C1.479.46,10.027339390672658,-12.026566,6,479
C1.487.84,10.020843801781893,-5.2091193,5,487
C1.454.75,10.011151033417041,-12.049597,7,454
C1.479.9,9.99817319221493,-1.7028652,6,479
C1.479.98,9.995436466771164,-2.359082,6,479
